ts,open,high,low,close,volume
2023-08-14T20:00:00+00:00,29344.62,29374.19,29341.89,29369.39,2091.0
2023-08-14T22:00:00+00:00,29369.39,29453.25,29363.92,29406.16,8047.0
2023-08-15T00:00:00+00:00,29405.5,29434.31,29348.3,29379.08,9878.0
2023-08-15T02:00:00+00:00,29378.58,29392.4,29334.62,29364.17,6458.0
2023-08-15T04:00:00+00:00,29363.97,29371.17,29321.69,29336.77,6044.0
2023-08-15T06:00:00+00:00,29336.77,29397.69,29309.89,29372.75,11218.0
2023-08-15T08:00:00+00:00,29372.61,29417.76,29355.48,29375.64,13227.0
2023-08-15T10:00:00+00:00,29376.14,29383.75,29311.37,29322.58,12747.0
2023-08-15T12:00:00+00:00,29322.58,29379.31,29317.97,29330.34,16001.0
2023-08-15T14:00:00+00:00,29330.29,29462.45,29271.72,29288.46,18519.0
2023-08-15T16:00:00+00:00,29289.18,29331.24,29222.6,29298.52,11787.0
2023-08-15T18:00:00+00:00,29298.52,29321.71,29040.9,29150.0,16699.0
2023-08-15T20:00:00+00:00,29149.9,29209.7,29102.88,29195.49,11519.0
2023-08-15T22:00:00+00:00,29195.49,29211.91,29143.54,29168.78,9300.0
2023-08-16T00:00:00+00:00,29169.68,29225.83,29151.31,29212.24,9515.0
2023-08-16T02:00:00+00:00,29213.22,29226.43,29183.54,29193.75,8490.0
2023-08-16T04:00:00+00:00,29192.92,29202.67,29100.45,29108.48,11030.0
2023-08-16T06:00:00+00:00,29108.58,29182.17,29075.17,29160.49,15615.0
2023-08-16T08:00:00+00:00,29161.28,29179.26,29063.89,29133.71,16160.0
2023-08-16T10:00:00+00:00,29134.3,29179.3,29110.29,29124.39,8852.0
2023-08-16T12:00:00+00:00,29124.39,29178.84,28996.84,29049.74,18649.0
2023-08-16T14:00:00+00:00,29049.73,29147.77,29012.72,29067.96,18506.0
2023-08-16T16:00:00+00:00,29067.87,29140.26,28913.87,29140.01,22248.0
2023-08-16T18:00:00+00:00,29138.57,29205.47,29065.6,29094.42,18920.0
2023-08-16T20:00:00+00:00,29079.56,29109.5,28810.0,28904.12,14098.0
2023-08-16T22:00:00+00:00,28904.46,28952.22,28684.69,28699.07,14041.0
2023-08-17T00:00:00+00:00,28699.73,28751.19,28290.08,28601.46,22546.0
2023-08-17T02:00:00+00:00,28602.05,28668.17,28537.24,28619.96,9210.0
2023-08-17T04:00:00+00:00,28619.96,28675.0,28574.25,28644.56,9765.0
2023-08-17T06:00:00+00:00,28645.06,28660.82,28558.27,28582.71,15318.0
2023-08-17T08:00:00+00:00,28583.86,28599.92,28475.08,28557.56,16870.0
2023-08-17T10:00:00+00:00,28557.56,28577.49,28444.22,28502.83,21738.0
2023-08-17T12:00:00+00:00,28502.97,28535.45,28329.75,28352.83,20829.0
2023-08-17T14:00:00+00:00,28353.73,28453.04,27844.33,27893.29,27236.0
2023-08-17T16:00:00+00:00,27893.29,28043.6,27630.67,27932.23,19539.0
2023-08-17T18:00:00+00:00,27932.23,27983.78,27808.74,27853.64,16304.0
2023-08-17T20:00:00+00:00,27853.73,27882.04,24145.35,25930.64,15941.0
2023-08-17T22:00:00+00:00,26131.42,27002.29,25866.04,26616.6,24272.0
2023-08-18T00:00:00+00:00,26617.19,26824.75,26555.62,26607.41,20242.0
2023-08-18T02:00:00+00:00,26606.82,26677.79,26311.76,26397.46,18337.0
2023-08-18T04:00:00+00:00,26397.89,26520.28,26134.99,26434.79,20431.0
2023-08-18T06:00:00+00:00,26433.95,26607.14,26401.45,26415.7,18859.0
2023-08-18T08:00:00+00:00,26413.87,26603.03,26404.84,26448.34,12989.0
2023-08-18T10:00:00+00:00,26448.27,26502.71,26369.84,26481.25,15884.0
2023-08-18T12:00:00+00:00,26481.25,26489.67,26200.24,26226.24,21150.0
2023-08-18T14:00:00+00:00,26226.77,26294.2,25909.63,25982.23,25969.0
2023-08-18T16:00:00+00:00,25982.44,26128.39,25594.82,25985.68,24679.0
2023-08-18T18:00:00+00:00,25985.69,26285.71,25900.23,26044.55,20134.0
2023-08-18T20:00:00+00:00,26044.22,26228.48,25959.25,26024.01,7823.0
2023-08-18T22:00:00+00:00,26024.92,26110.25,25976.75,26047.75,12500.0
2023-08-19T00:00:00+00:00,26047.44,26142.72,26005.41,26010.0,13614.0
2023-08-19T02:00:00+00:00,26010.0,26058.66,25911.94,25959.22,13629.0
2023-08-19T04:00:00+00:00,25958.97,26000.98,25863.75,25877.75,16088.0
2023-08-19T06:00:00+00:00,25878.74,25919.18,25791.38,25902.16,18189.0
2023-08-19T08:00:00+00:00,25901.22,25981.35,25872.56,25935.75,17720.0
2023-08-19T10:00:00+00:00,25934.32,25950.41,25882.29,25889.29,12495.0
2023-08-19T12:00:00+00:00,25890.8,25966.67,25863.47,25914.66,16917.0
2023-08-19T14:00:00+00:00,25914.72,26218.87,25910.42,26203.69,22370.0
2023-08-19T16:00:00+00:00,26203.15,26261.25,26069.04,26088.48,23073.0
2023-08-19T18:00:00+00:00,26092.33,26164.03,26026.05,26130.48,12623.0
2023-08-19T20:00:00+00:00,26130.43,26159.5,25979.02,26079.42,11089.0
2023-08-19T22:00:00+00:00,26079.2,26116.66,26038.3,26093.88,6455.0
2023-08-20T00:00:00+00:00,26094.41,26206.28,26038.72,26065.44,13489.0
2023-08-20T02:00:00+00:00,26065.24,26130.83,26041.44,26093.22,6458.0
2023-08-20T04:00:00+00:00,26093.19,26154.23,26057.67,26079.41,5123.0
2023-08-20T06:00:00+00:00,26079.41,26090.56,26026.6,26078.59,8506.0
2023-08-20T08:00:00+00:00,26078.59,26141.58,26050.02,26135.6,13955.0
2023-08-20T10:00:00+00:00,26135.6,26193.15,26114.54,26170.01,21039.0
2023-08-20T12:00:00+00:00,26170.51,26209.62,26124.78,26137.04,20008.0
2023-08-20T14:00:00+00:00,26136.25,26150.91,25964.53,26104.69,17119.0
2023-08-20T16:00:00+00:00,26104.19,26162.4,26004.02,26127.5,16454.0
