ts,open,high,low,close,volume
2022-04-11T00:00:00+00:00,24.768,24.787,24.762,24.769,142.0
2022-04-11T00:45:00+00:00,24.769,24.799,24.753,24.797,150.0
2022-04-11T01:00:00+00:00,24.793,24.883,24.752,24.76,1282.0
2022-04-11T01:45:00+00:00,24.759,24.774,24.733,24.769,468.0
2022-04-11T02:00:00+00:00,24.767,24.77,24.688,24.735,1250.0
2022-04-11T02:45:00+00:00,24.736,24.748,24.713,24.745,518.0
2022-04-11T03:00:00+00:00,24.744,24.775,24.721,24.739,802.0
2022-04-11T03:45:00+00:00,24.739,24.745,24.718,24.73,151.0
2022-04-11T04:00:00+00:00,24.73,24.748,24.7,24.709,462.0
2022-04-11T04:45:00+00:00,24.706,24.717,24.703,24.716,97.0
2022-04-11T05:00:00+00:00,24.717,24.746,24.671,24.746,614.0
2022-04-11T05:45:00+00:00,24.746,24.799,24.73,24.797,205.0
2022-04-11T06:00:00+00:00,24.8,24.8,24.717,24.733,1026.0
2022-04-11T06:45:00+00:00,24.733,24.745,24.724,24.739,334.0
2022-04-11T07:00:00+00:00,24.737,24.833,24.719,24.813,1347.0
2022-04-11T07:45:00+00:00,24.811,24.843,24.799,24.824,317.0
2022-04-11T08:00:00+00:00,24.822,25.002,24.815,24.968,1464.0
2022-04-11T08:45:00+00:00,24.968,24.992,24.953,24.965,563.0
2022-04-11T09:00:00+00:00,24.965,25.015,24.945,25.013,1215.0
2022-04-11T09:45:00+00:00,25.014,25.028,25.006,25.017,341.0
2022-04-11T10:00:00+00:00,25.019,25.062,24.966,24.966,1048.0
2022-04-11T10:45:00+00:00,24.966,25.049,24.946,25.049,333.0
2022-04-11T11:00:00+00:00,25.05,25.217,25.023,25.179,1345.0
2022-04-11T11:45:00+00:00,25.181,25.227,25.179,25.206,580.0
2022-04-11T12:00:00+00:00,25.207,25.329,25.177,25.275,2162.0
2022-04-11T12:45:00+00:00,25.274,25.336,25.269,25.274,707.0
2022-04-11T13:00:00+00:00,25.276,25.374,25.225,25.266,2823.0
2022-04-11T13:45:00+00:00,25.269,25.275,24.943,25.0,1454.0
2022-04-11T14:00:00+00:00,24.999,25.033,24.884,24.938,3227.0
2022-04-11T14:45:00+00:00,24.936,24.996,24.916,24.992,721.0
2022-04-11T15:00:00+00:00,24.992,25.011,24.932,24.984,1480.0
2022-04-11T15:45:00+00:00,24.984,24.989,24.931,24.931,307.0
2022-04-11T16:00:00+00:00,24.929,24.962,24.902,24.922,1046.0
2022-04-11T16:45:00+00:00,24.922,24.925,24.814,24.818,584.0
2022-04-11T17:00:00+00:00,24.819,24.874,24.802,24.863,1332.0
2022-04-11T17:45:00+00:00,24.861,24.88,24.842,24.861,294.0
2022-04-11T18:00:00+00:00,24.861,24.893,24.846,24.886,692.0
2022-04-11T18:45:00+00:00,24.886,24.911,24.879,24.886,222.0
2022-04-11T19:00:00+00:00,24.886,25.034,24.881,25.028,983.0
2022-04-11T19:45:00+00:00,25.027,25.066,25.002,25.061,406.0
2022-04-11T20:00:00+00:00,25.06,25.108,25.047,25.074,512.0
2022-04-11T20:45:00+00:00,25.076,25.126,25.076,25.091,171.0
2022-04-11T22:00:00+00:00,25.073,25.084,25.037,25.07,327.0
2022-04-11T22:45:00+00:00,25.07,25.07,25.043,25.043,56.0
2022-04-11T23:00:00+00:00,25.045,25.126,25.043,25.08,256.0
2022-04-11T23:45:00+00:00,25.079,25.099,25.079,25.092,112.0
2022-04-12T00:00:00+00:00,25.093,25.105,25.034,25.037,907.0
2022-04-12T00:45:00+00:00,25.038,25.042,24.989,25.013,318.0
2022-04-12T01:00:00+00:00,25.01,25.062,24.977,25.059,1180.0
2022-04-12T01:45:00+00:00,25.056,25.079,25.049,25.073,296.0
2022-04-12T02:00:00+00:00,25.073,25.181,25.068,25.178,899.0
