ts,open,high,low,close,volume
2022-04-10T23:30:00+00:00,1944.61,1945.0,1943.27,1944.71,447.0
2022-04-11T00:00:00+00:00,1944.67,1946.08,1944.21,1945.22,1012.0
2022-04-11T00:30:00+00:00,1945.22,1945.74,1944.03,1945.3,743.0
2022-04-11T01:00:00+00:00,1945.3,1947.79,1944.26,1945.84,1737.0
2022-04-11T01:30:00+00:00,1945.84,1945.84,1941.85,1944.35,1857.0
2022-04-11T02:00:00+00:00,1944.32,1944.57,1941.29,1941.83,1977.0
2022-04-11T02:30:00+00:00,1941.81,1944.03,1940.32,1943.63,1943.0
2022-04-11T03:00:00+00:00,1943.63,1946.24,1942.6,1944.69,1387.0
2022-04-11T03:30:00+00:00,1944.69,1944.9,1942.51,1942.92,936.0
2022-04-11T04:00:00+00:00,1942.92,1944.54,1941.42,1942.66,936.0
2022-04-11T04:30:00+00:00,1942.66,1943.67,1941.81,1942.21,1392.0
2022-04-11T05:00:00+00:00,1942.21,1942.25,1940.19,1940.54,1060.0
2022-04-11T05:30:00+00:00,1940.54,1945.44,1939.97,1945.37,1832.0
2022-04-11T06:00:00+00:00,1945.37,1945.65,1941.38,1942.09,2456.0
2022-04-11T06:30:00+00:00,1942.08,1943.33,1941.54,1943.13,2666.0
2022-04-11T07:00:00+00:00,1943.14,1945.87,1941.61,1943.82,2690.0
2022-04-11T07:30:00+00:00,1943.77,1946.95,1943.37,1945.84,2323.0
2022-04-11T08:00:00+00:00,1945.83,1955.35,1945.32,1954.16,2667.0
2022-04-11T08:30:00+00:00,1954.23,1958.06,1954.15,1957.04,2597.0
2022-04-11T09:00:00+00:00,1957.04,1959.33,1955.75,1957.36,2278.0
2022-04-11T09:30:00+00:00,1957.36,1959.08,1956.75,1958.15,1750.0
2022-04-11T10:00:00+00:00,1958.15,1958.98,1954.21,1954.45,2091.0
2022-04-11T10:30:00+00:00,1954.45,1956.74,1952.96,1956.42,2242.0
2022-04-11T11:00:00+00:00,1956.52,1958.31,1955.67,1956.58,2111.0
2022-04-11T11:30:00+00:00,1956.56,1961.65,1956.56,1960.68,2494.0
2022-04-11T12:00:00+00:00,1960.68,1964.52,1959.46,1963.44,3303.0
2022-04-11T12:30:00+00:00,1963.45,1969.88,1962.84,1963.31,3723.0
2022-04-11T13:00:00+00:00,1963.3,1964.1,1959.74,1963.29,3876.0
2022-04-11T13:30:00+00:00,1963.23,1964.93,1949.02,1951.29,5412.0
2022-04-11T14:00:00+00:00,1951.3,1953.09,1945.75,1949.2,4433.0
2022-04-11T14:30:00+00:00,1949.2,1951.61,1947.6,1951.51,3448.0
2022-04-11T15:00:00+00:00,1951.5,1953.74,1950.85,1953.59,2652.0
2022-04-11T15:30:00+00:00,1953.53,1954.45,1951.37,1951.41,2350.0
2022-04-11T16:00:00+00:00,1951.41,1951.59,1947.25,1947.43,2255.0
2022-04-11T16:30:00+00:00,1947.44,1948.7,1940.88,1941.46,2405.0
2022-04-11T17:00:00+00:00,1941.46,1945.38,1940.9,1945.33,1876.0
2022-04-11T17:30:00+00:00,1945.37,1947.38,1943.81,1946.9,1987.0
2022-04-11T18:00:00+00:00,1946.96,1949.44,1946.73,1948.22,1655.0
2022-04-11T18:30:00+00:00,1948.22,1950.32,1947.71,1949.66,1188.0
2022-04-11T19:00:00+00:00,1949.66,1952.86,1949.45,1951.95,1546.0
2022-04-11T19:30:00+00:00,1951.95,1954.61,1950.69,1953.76,2074.0
2022-04-11T20:00:00+00:00,1953.75,1955.82,1953.35,1954.58,925.0
2022-04-11T20:30:00+00:00,1954.49,1955.19,1952.86,1953.63,692.0
2022-04-11T22:00:00+00:00,1953.71,1954.57,1951.93,1952.59,464.0
2022-04-11T22:30:00+00:00,1952.58,1953.03,1951.55,1951.96,516.0
2022-04-11T23:00:00+00:00,1951.96,1953.47,1951.96,1953.23,505.0
2022-04-11T23:30:00+00:00,1953.23,1954.4,1952.3,1952.84,694.0
2022-04-12T00:00:00+00:00,1952.78,1953.96,1951.57,1951.76,1273.0
2022-04-12T00:30:00+00:00,1951.76,1952.76,1949.82,1952.4,1421.0
2022-04-12T01:00:00+00:00,1952.4,1952.99,1950.23,1950.76,2216.0
2022-04-12T01:30:00+00:00,1950.76,1955.17,1950.64,1955.06,1630.0
2022-04-12T02:00:00+00:00,1955.06,1957.32,1954.88,1955.7,1365.0
2022-04-12T02:30:00+00:00,1955.7,1957.85,1955.7,1956.73,1405.0
2022-04-12T03:00:00+00:00,1956.72,1957.55,1955.95,1957.41,1089.0
2022-04-12T03:30:00+00:00,1957.41,1959.18,1957.38,1959.07,1208.0
2022-04-12T04:00:00+00:00,1959.07,1960.17,1958.46,1960.12,1129.0
2022-04-12T04:30:00+00:00,1960.12,1960.42,1957.86,1957.87,857.0
2022-04-12T05:00:00+00:00,1957.89,1959.84,1957.07,1958.82,1093.0
2022-04-12T05:30:00+00:00,1958.82,1960.12,1955.77,1956.62,1709.0
2022-04-12T06:00:00+00:00,1956.62,1957.91,1955.98,1957.22,1721.0
2022-04-12T06:30:00+00:00,1957.22,1958.86,1956.8,1958.44,1448.0
2022-04-12T07:00:00+00:00,1958.42,1959.52,1954.79,1956.13,2620.0
2022-04-12T07:30:00+00:00,1956.08,1956.84,1952.87,1953.32,2085.0
2022-04-12T08:00:00+00:00,1953.32,1955.14,1951.48,1954.02,2115.0
2022-04-12T08:30:00+00:00,1954.05,1954.76,1950.88,1951.39,1798.0
2022-04-12T09:00:00+00:00,1951.52,1952.21,1949.7,1951.79,1690.0
2022-04-12T09:30:00+00:00,1951.79,1953.89,1951.15,1953.18,1792.0
2022-04-12T10:00:00+00:00,1953.18,1956.47,1953.18,1956.3,1505.0
2022-04-12T10:30:00+00:00,1956.31,1957.47,1955.11,1955.23,1310.0
2022-04-12T11:00:00+00:00,1955.21,1957.31,1953.61,1954.92,1858.0
2022-04-12T11:30:00+00:00,1954.93,1956.75,1952.46,1956.63,2218.0
2022-04-12T12:00:00+00:00,1956.63,1961.06,1955.23,1955.49,2904.0
2022-04-12T12:30:00+00:00,1955.36,1971.98,1955.34,1970.32,5609.0
2022-04-12T13:00:00+00:00,1970.36,1973.08,1967.8,1972.2,4353.0
2022-04-12T13:30:00+00:00,1972.1,1972.69,1960.66,1961.38,3936.0
2022-04-12T14:00:00+00:00,1961.38,1969.27,1960.78,1966.85,4016.0
2022-04-12T14:30:00+00:00,1966.93,1978.58,1966.9,1975.73,3981.0
2022-04-12T15:00:00+00:00,1975.73,1978.0,1971.66,1973.84,3414.0
2022-04-12T15:30:00+00:00,1973.84,1974.86,1970.42,1970.62,2870.0
2022-04-12T16:00:00+00:00,1970.62,1975.94,1969.64,1973.87,3268.0
2022-04-12T16:30:00+00:00,1973.87,1975.28,1972.0,1974.06,2931.0
2022-04-12T17:00:00+00:00,1974.04,1975.1,1970.39,1972.28,3405.0
2022-04-12T17:30:00+00:00,1972.21,1972.72,1969.13,1969.28,2259.0
2022-04-12T18:00:00+00:00,1969.32,1969.76,1967.75,1968.82,1764.0
2022-04-12T18:30:00+00:00,1968.78,1969.01,1964.71,1964.88,1999.0
2022-04-12T19:00:00+00:00,1964.89,1969.55,1964.76,1966.78,1524.0
2022-04-12T19:30:00+00:00,1966.78,1969.21,1966.19,1968.99,1794.0
2022-04-12T20:00:00+00:00,1968.83,1968.83,1965.1,1965.17,916.0
2022-04-12T20:30:00+00:00,1965.14,1966.74,1964.74,1966.48,712.0
2022-04-12T22:00:00+00:00,1965.94,1967.91,1965.94,1967.72,563.0
2022-04-12T22:30:00+00:00,1967.72,1967.88,1966.09,1966.85,443.0
2022-04-12T23:00:00+00:00,1966.85,1966.91,1965.04,1965.36,448.0
2022-04-12T23:30:00+00:00,1965.35,1966.53,1965.25,1965.89,511.0
2022-04-13T00:00:00+00:00,1965.89,1967.86,1963.35,1964.22,1256.0
2022-04-13T00:30:00+00:00,1964.22,1964.25,1962.88,1964.11,1309.0
2022-04-13T01:00:00+00:00,1964.15,1966.13,1963.45,1964.48,1717.0
2022-04-13T01:30:00+00:00,1964.48,1969.52,1964.17,1969.28,1879.0
2022-04-13T02:00:00+00:00,1969.28,1970.89,1968.3,1970.31,1404.0
2022-04-13T02:30:00+00:00,1970.31,1971.31,1969.84,1970.86,1528.0
2022-04-13T03:00:00+00:00,1970.84,1972.23,1969.66,1969.67,1295.0
2022-04-13T03:30:00+00:00,1969.69,1971.22,1969.08,1969.94,880.0
2022-04-13T04:00:00+00:00,1969.94,1970.24,1968.85,1969.94,672.0
2022-04-13T04:30:00+00:00,1969.94,1970.58,1967.77,1968.27,867.0
2022-04-13T05:00:00+00:00,1968.26,1969.76,1967.72,1969.45,802.0
2022-04-13T05:30:00+00:00,1969.43,1973.59,1969.33,1972.13,1593.0
2022-04-13T06:00:00+00:00,1972.13,1972.13,1967.29,1967.81,2203.0
2022-04-13T06:30:00+00:00,1967.81,1970.04,1966.53,1968.69,2067.0
2022-04-13T07:00:00+00:00,1968.74,1968.96,1965.69,1966.88,2160.0
2022-04-13T07:30:00+00:00,1966.89,1972.81,1965.92,1971.13,2540.0
2022-04-13T08:00:00+00:00,1971.12,1975.16,1970.01,1974.57,2400.0
2022-04-13T08:30:00+00:00,1974.83,1975.64,1973.11,1973.73,1888.0
2022-04-13T09:00:00+00:00,1973.75,1975.98,1973.7,1975.28,1616.0
