ts,open,high,low,close,volume
2023-08-14T21:00:00+00:00,29344.62,29453.25,29341.89,29440.22,4804.0
2023-08-14T22:30:00+00:00,29438.55,29450.56,29398.21,29406.16,5334.0
2023-08-15T00:00:00+00:00,29405.5,29434.31,29371.85,29389.66,6811.0
2023-08-15T01:30:00+00:00,29389.66,29392.63,29336.97,29349.81,6908.0
2023-08-15T03:00:00+00:00,29348.85,29371.64,29334.62,29347.46,3913.0
2023-08-15T04:30:00+00:00,29347.55,29364.06,29321.69,29336.77,4748.0
2023-08-15T06:00:00+00:00,29336.77,29356.19,29316.9,29320.18,7850.0
2023-08-15T07:30:00+00:00,29320.08,29417.76,29309.89,29379.54,9230.0
2023-08-15T09:00:00+00:00,29379.04,29412.04,29349.08,29367.09,11790.0
2023-08-15T10:30:00+00:00,29367.54,29383.75,29311.37,29322.58,8322.0
2023-08-15T12:00:00+00:00,29322.58,29378.56,29317.97,29371.1,11109.0
2023-08-15T13:30:00+00:00,29370.04,29426.5,29296.81,29418.41,14610.0
2023-08-15T15:00:00+00:00,29419.98,29462.45,29271.44,29311.69,11797.0
2023-08-15T16:30:00+00:00,29311.52,29312.62,29222.6,29298.52,8791.0
2023-08-15T18:00:00+00:00,29298.52,29321.71,29040.9,29137.0,11013.0
2023-08-15T19:30:00+00:00,29136.32,29198.5,29099.65,29167.66,13611.0
2023-08-15T21:00:00+00:00,29155.75,29211.91,29144.05,29194.79,5635.0
2023-08-15T22:30:00+00:00,29194.71,29199.47,29143.54,29168.78,7259.0
2023-08-16T00:00:00+00:00,29169.68,29225.83,29161.71,29183.88,6555.0
2023-08-16T01:30:00+00:00,29183.64,29226.43,29151.31,29213.47,7627.0
2023-08-16T03:00:00+00:00,29212.63,29222.98,29185.02,29186.76,6008.0
2023-08-16T04:30:00+00:00,29185.24,29189.81,29100.45,29108.48,8845.0
2023-08-16T06:00:00+00:00,29108.58,29178.71,29075.17,29155.28,11565.0
2023-08-16T07:30:00+00:00,29153.72,29182.17,29123.65,29143.92,11294.0
2023-08-16T09:00:00+00:00,29144.17,29171.9,29063.89,29153.71,12099.0
2023-08-16T10:30:00+00:00,29153.29,29179.3,29110.29,29124.39,5669.0
2023-08-16T12:00:00+00:00,29124.39,29178.84,28996.84,29089.0,12699.0
2023-08-16T13:30:00+00:00,29088.31,29129.11,29012.72,29122.62,15983.0
2023-08-16T15:00:00+00:00,29122.02,29147.77,28913.87,28933.85,15108.0
2023-08-16T16:30:00+00:00,28933.85,29140.26,28914.05,29140.01,15613.0
2023-08-16T18:00:00+00:00,29138.57,29205.47,29065.6,29111.81,15165.0
2023-08-16T19:30:00+00:00,29111.58,29123.36,28810.0,28928.48,12688.0
2023-08-16T21:00:00+00:00,28908.18,28952.22,28830.38,28928.75,8485.0
2023-08-16T22:30:00+00:00,28930.67,28932.28,28684.69,28699.07,10721.0
2023-08-17T00:00:00+00:00,28699.73,28751.19,28290.08,28604.53,18142.0
2023-08-17T01:30:00+00:00,28604.5,28616.17,28527.0,28553.33,11067.0
2023-08-17T03:00:00+00:00,28553.75,28675.0,28540.17,28612.22,6164.0
2023-08-17T04:30:00+00:00,28612.23,28645.56,28574.25,28644.56,6148.0
2023-08-17T06:00:00+00:00,28645.06,28660.82,28579.41,28587.16,12317.0
2023-08-17T07:30:00+00:00,28588.65,28599.92,28513.73,28515.5,9517.0
2023-08-17T09:00:00+00:00,28516.41,28584.61,28475.08,28563.65,15367.0
